cabbage	asparagus	okra	potato	pear	banana	blackberry	juniper	honeydew	yam	horseradish	watercress	celery	parsley	pineapple	scallion	peach	watermelon	kiwi	cayenne	plantain	orange	apricot	chard	type
1	85	17	214	174	2	86	0	25	96	302	0	314	1	1	2	133	112	101	189	33	39	0	191	1
203	17	11	221	159	129	50	368	105	259	49	63	138	499	91	236	63	136	43	52	147	27	209	122	7
1	25	166	101	69	0	33	3	1	41	230	5	0	1	2	1	88	8	1	21	0	54	1	61	0
197	107	28	97	36	32	8	122	157	32	27	507	149	391	110	424	32	101	96	86	231	113	170	109	7
0	49	1	204	10	320	103	2	33	57	26	272	96	118	0	140	94	96	35	8	383	76	2	87	3
60	63	110	110	31	2	321	490	194	49	75	3	50	0	116	0	28	150	183	134	273	196	224	64	5
1	113	81	230	184	525	49	0	2	130	186	85	0	158	1	75	463	112	2	25	5	128	2	77	2
172	146	45	48	57	3	124	89	2	31	126	0	0	3	67	3	7	151	0	107	2	148	447	68	4
391	75	82	34	8	0	403	286	1	142	104	3	0	0	74	2	123	161	0	78	0	36	73	54	4
0	20	28	124	223	614	24	1	72	25	33	22	522	370	2	174	57	115	364	49	80	163	0	53	3
241	101	24	19	58	0	23	79	2	53	21	1	1	0	105	1	98	91	2	91	1	28	67	49	4
1	212	24	301	65	0	72	2	389	48	121	0	121	1	1	1	61	63	127	44	178	28	2	7	1
1	307	15	49	43	0	45	0	0	6	129	1	0	1	0	0	103	62	0	77	1	170	1	29	0
2	29	114	20	103	210	65	0	39	90	107	107	150	131	8	179	176	104	46	124	411	125	0	181	3
78	69	19	154	95	442	103	4	0	96	143	206	0	155	55	87	85	7	0	98	1	215	15	49	6
58	222	66	198	89	0	133	50	320	77	40	0	153	0	445	2	90	126	747	73	189	138	653	28	5
206	121	19	44	8	176	182	502	3	86	189	112	0	77	241	185	292	133	0	102	2	248	15	85	6
239	147	121	146	189	4	81	282	1	37	226	1	0	0	421	1	37	55	1	75	4	36	534	52	4
0	62	66	116	102	1	6	0	129	109	83	0	243	1	1	2	23	24	72	286	465	15	0	361	1
0	97	28	117	41	287	179	0	192	27	107	35	34	176	0	38	99	4	211	64	256	35	1	15	3
166	236	39	212	79	226	165	226	170	119	235	65	92	350	174	109	102	54	294	51	222	166	73	205	7
0	104	146	72	201	1	167	0	40	11	6	0	365	2	0	0	64	10	44	40	40	23	1	26	1
104	21	138	93	52	0	278	214	138	254	105	1	349	0	156	0	58	12	250	20	181	100	33	68	5
435	184	104	94	62	150	486	85	0	69	241	126	1	125	239	97	140	89	1	147	0	93	299	62	6
0	56	90	183	4	0	26	0	249	32	91	2	116	0	1	4	16	444	645	291	90	28	0	125	1
0	61	34	191	25	194	156	0	0	72	220	227	1	143	0	244	7	334	1	96	1	137	0	77	2
225	93	68	31	11	0	139	343	1	89	263	2	0	1	27	3	25	19	0	186	0	145	90	74	4
1	80	22	23	144	90	52	1	0	187	23	148	0	113	4	174	164	77	1	244	1	126	2	43	2
1	299	130	151	3	359	83	0	169	56	54	242	366	191	5	180	23	26	266	116	161	192	3	40	3
4	19	91	55	11	3	150	0	0	130	18	0	0	0	3	3	238	353	0	15	0	6	0	140	0
1	154	70	53	33	132	155	0	0	157	58	213	0	158	1	673	138	39	1	20	0	30	0	12	2
272	52	191	58	211	189	177	138	29	140	135	180	158	200	101	363	67	90	44	71	308	41	302	21	7
110	28	56	284	90	1	26	118	0	143	26	5	1	0	11	0	150	51	2	67	3	141	133	32	4
68	275	128	110	50	442	44	131	1	175	173	278	1	277	166	77	44	171	2	160	0	36	217	220	6
0	73	201	25	8	0	46	0	0	53	75	0	2	1	1	0	133	259	3	152	0	274	0	207	0
0	147	130	113	165	144	10	1	204	27	206	257	90	445	1	141	103	86	196	45	162	75	1	150	3
178	15	41	59	12	1	71	330	370	76	66	1	47	2	108	1	26	175	240	59	262	16	64	66	5
0	308	26	227	15	0	52	2	1	201	91	0	0	0	0	0	96	53	0	115	1	68	0	171	0
