# gene_name         0h    12h    24h    48h    96h 
anise             38.9   31.2   27.3   13.5    2.7 
apricot           32.1   11.8    4.0    0.4    0.0 
artichoke        180.9  308.5  444.2  744.0 1403.3 
arugula            3.4    1.8    0.7    0.1    0.0 
asparagus         52.8   63.2   83.5   98.1   71.1 
avocado            8.3    4.9    2.5    0.7    0.0 
banana            43.2   61.1   89.0  107.9  124.3 
basil            128.5   96.8   71.5   30.4    3.8 
beet              41.8   41.7   35.0   22.5    5.1 
blackberry         6.2    5.0    3.6    1.5    0.2 
blueberry         87.4  132.0  179.6  256.3  282.1 
broccoli           5.2    3.7    2.2    0.6    0.0 
butternut         10.0    6.1    3.4    1.0    0.0 
cabbage            6.1    2.6    1.1    0.1    0.0 
cantaloupe        12.0    8.0    4.2    1.0    0.0 
caraway           90.0   69.8   57.1   40.0    7.8 
carrot            16.8   15.5   12.8    5.7    1.1 
cauliflower       12.3    8.5    4.9    1.3    0.1 
cayenne           19.9   13.8    7.4    1.9    0.1 
celery             7.9    3.3    1.0    0.1    0.0 
chard            162.8  232.1  282.1  344.5  251.6 
cherry            66.2   44.3   31.7   11.7    0.9 
chestnut          12.7   11.8    8.9    4.3    0.6 
chickpea          44.7   26.4   15.2    3.6    0.1 
cilantro          65.6   64.3   49.7   28.7    5.5 
clementine        49.1   72.0   83.5  107.9   98.7 
coconut           50.0   40.7   34.1   21.0    3.9 
coriander         39.9   46.7   50.7   49.0   24.1 
cranberry          5.8    4.0    2.5    0.7    0.0 
cucumber           3.3    2.2    1.0    0.2    0.0 
currant          274.7  249.6  223.9  119.5   24.7 
eggplant         133.0  207.5  259.2  355.5  465.8 
elderberry        26.5   21.3   16.6    8.7    1.1 
endive            43.0   24.4   11.2    2.2    0.0 
fennel            27.3   29.9   27.2   21.9    7.9 
fig              207.7  168.7  152.3   74.0   11.9 
garlic             6.7    6.7    5.9    3.7    0.8 
ginger            11.6   11.3    8.1    3.6    0.4 
gooseberry        49.0   55.3   49.0   36.3   13.4 
grape             95.7  137.2  180.6  216.9  223.6 
grapefruit        23.8   29.2   27.0   25.1    9.6 
guava            106.5  128.8  132.8  134.2   69.2 
honeydew           9.0    4.8    2.3    0.4    0.0 
horseradish       33.4   37.8   44.7   47.2   30.7 
huckleberry       48.5   53.8   49.3   36.8   13.8 
juniper           17.3   17.2   13.4    6.8    1.1 
kiwi              44.9   24.7   11.9    2.6    0.1 
kohlrabi          14.9    6.3    2.6    0.4    0.0 
lavender          18.2   17.9   16.0   11.6    3.5 
leek              40.8   36.5   27.6   11.5    1.8 
