#cell        type      caraway         kiwi
0               4         1475           16
1               2           49          295
2               2          229          170
3               2          241          428
4               3           44           32
5               1         2262         2758
6               3           42           38
7               4         4745           33
8               3           26           15
9               2          308          745
10              2           42          208
11              1         1831         2997
12              1          812         2795
13              3           46           41
14              1         2096         3277
15              4          760           19
16              0           40         1158
17              2          378          255
18              1         2620         1302
19              3           16           33
20              2          224          468
21              2          306          115
22              1         1730         3368
23              3           30           18
24              2          181          162
25              1         1875         3349
26              1         1863         3251
27              0           42         1187
28              2          219          435
29              2          530          163
30              4         1199           50
31              4         4942           34
32              3           36           99
33              3           62           67
34              4         1302           23
35              3           74           33
36              3           17           21
37              3           12           20
38              1          305         2685
39              1          716         2891
40              2          147          274
41              1         1183         1052
42              2          301           79
43              3           17            8
44              2          463          276
45              1         2698          919
46              2          197          138
47              1         2739         1443
48              2          291          236
49              3           37           37
50              1         2327         1989
51              1          920         2233
52              2           98          119
53              2          292          202
54              2          164          341
55              4         2133           35
56              0           15         2897
57              3           12           15
58              2           98          277
59              3           29           40
60              2          128          369
61              2          197          185
62              2          318           56
63              3           27           48
64              1          647         3119
65              1         3368         1235
66              3           30           28
67              3           28           34
68              2           98          621
69              3           38           34
70              2          161          193
71              1         1198         2039
72              2          365          531
73              2          350          366
74              4         1685            9
75              3           55           45
76              4         2309            6
77              1         1826         2810
78              2          289          380
79              1         2079         2264
80              1         2595         1003
81              1         3211         5266
82              1         2384         2325
83              2          414           95
84              2          100          324
85              3           20           14
86              1         2092         1500
87              2          284           31
88              2          262          238
89              2          414          226
90              0           33         2812
91              3           11           64
92              3           24           43
93              4         5509           44
94              2          416           43
95              2          760          265
96              3           59           61
97              2          317          105
98              2          375          360
99              0           25         1643
100             0           14         3473
101             3           11           27
102             2          140          224
103             3           78           16
104             2          238          197
105             1         1914         1379
106             4         4498           31
107             3            7           61
108             1         2450         3110
109             1         1460         4165
110             1         4330         1495
111             3           32           18
112             0           57         3743
113             2          312          198
114             0           77         6003
115             4         2210           12
116             0           31          617
117             1         2862         2482
118             1          635         1513
119             2          299          174
120             1          455          175
121             4          617           53
122             1          699         1939
123             2          437          424
124             1          615          964
125             0           28         4002
126             4         1124           40
127             2          126           72
128             3           47           52
129             1         1048         3090
130             0           34         1164
131             2          228          467
132             0            7         1413
133             0            9          338
134             3           55           20
135             2          171           97
136             2          175          653
137             4         1626           22
138             1         2613         2868
139             2          207          313
140             4         2723            2
141             3            8           24
142             4         1093            8
143             2          347          365
144             2           94          551
145             1         1545         2215
146             2          135          286
147             2          144          249
148             2          104          111
149             0           18         3854
150             1         1913         1336
151             1          627         1548
152             2          143          108
153             3           46           18
154             2          379          150
