                4hr    4hr    8hr    8hr   16hr   16hr   24hr   24hr 
gene           +-20    +-2   +-20    +-5    +-5   +-20    +-2   +-20 
------------ ------ ------ ------ ------ ------ ------ ------ ------ 
anise        126.03  62.71  58.83  60.12  18.42  37.85  43.12  29.67 
kiwi          14.96  31.72  71.67  53.63  52.30  40.66  18.78   2.55 
carrot        18.51  67.09  42.04  53.43  32.78  32.27  66.49  24.99 
grape         19.21  18.00  37.27  30.94  71.36  99.78  27.32  20.85 
tangerine     26.77  31.49  28.86  22.29  57.75 103.32  60.55  42.80 
melon         37.44  41.64  42.79  26.56  48.16  35.26  60.70  72.27 
clementine    45.98  69.21  59.91  59.47   6.47   3.73  56.48  32.95 
spinach        9.61  63.58  93.75  70.85  39.18  31.04  38.87  41.49 
beet          42.79  51.03  24.92  27.29  39.81  50.76  65.12  75.09 
huckleberry   87.11  46.79  98.50  82.94  46.97  82.12  19.50  42.37 
lentil         8.80  24.44  12.88  46.04  71.09  54.28  21.49  51.04 
cauliflower   50.20  22.43  31.51  24.82  63.75  83.31  44.81  47.69 
